id,authors,title,average_rating
2206,"Chelsea Handler, Johnny Kansas, Stephanie Stehling, Heather McDonald, Roy Handler, Brad Wollack, Amber Mazzola, Josh Wolf, Shoshanna Handler, Eva Magdalenski, Amy Meyer, Glen Handler, Dave Mallow, Sarah Colonna",Lies That Chelsea Handler Told Me,3.74
2207,Tana French,"Broken Harbour (Dublin Murder Squad, #4)",3.92
2208,M. Leighton,"Down to You (The Bad Boys, #1)",4.05
2209,William Shakespeare,The Complete Works,4.49
2210,Ursula K. Le Guin,The Dispossessed,4.18
2211,"Henning Mankell, Steven T. Murray","Faceless Killers (Kurt Wallander, #1)",3.78
2212,John Grisham,The Confession,3.81
2213,Dean Koontz,Lightning,4.06
2214,"James Patterson, Keith David, Anthony Heald","Cat and Mouse (Alex Cross, #4)",3.96
2215,Judy Blume,"Superfudge (Fudge, #3)",3.98
2216,Shari Lapena,The Couple Next Door,3.74
2217,Cynthia Hand,"Hallowed (Unearthly, #2)",4.15
2218,Ann Leckie,Ancillary Justice (Imperial Radch #1),3.97
2219,Terry Goodkind,"The Pillars of Creation (Sword of Truth, #7)",3.67
2220,"James C. Collins, Jerry I. Porras",Built to Last: Successful Habits of Visionary Companies,3.98
2221,Allen Eskens,The Life We Bury,3.93
2222,Eric Wilson,Fireproof,4.47
2223,Jack Higgins,"The Eagle Has Landed (Liam Devlin, #1)",4.15
2224,Laurell K. Hamilton,"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)",4.12
2225,David Wong,"John Dies at the End (John Dies at the End, #1)",3.92
2226,"Carl Sagan, Ann Druyan",The Demon-Haunted World: Science as a Candle in the Dark,4.27
2227,Lucy Christopher,Stolen: A Letter to My Captor,3.93
2228,Stanisław Lem,Solaris,3.97
2229,Elizabeth Wurtzel,Prozac Nation,3.57
2230,Lloyd Alexander,The Black Cauldron (The Chronicles of Prydain #2),4.13
2231,Daniel J. Levitin,This Is Your Brain on Music: The Science of a Human Obsession,3.86
2232,Mitch Albom,The First Phone Call from Heaven,3.73
2233,Augusten Burroughs,Possible Side Effects,3.97
2234,Anna Quindlen,Still Life with Bread Crumbs,3.63
2235,Agatha Christie,"The A.B.C. Murders (Hercule Poirot, #13)",3.97
2236,Anonymous,Holy Bible: New International Version,4.61
2237,J.R. Ward,"Lover Reborn (Black Dagger Brotherhood, #10)",4.35
2238,Julia Quinn,"The Duke and I (Bridgertons, #1)",4.11
2239,"Margaret Weis, Tracy Hickman","Dragons of Spring Dawning (Dragonlance: Chronicles, #3)",4.12
2240,Lorraine Hansberry,A Raisin in the Sun,3.72
2241,Richard K. Morgan,"Altered Carbon (Takeshi Kovacs, #1)",4.1
2242,Tom Clancy,"The Sum of All Fears (Jack Ryan Universe, #7)",3.99
2243,A.J. Banner,The Good Neighbor,3.33
2244,"Brian K. Vaughan, Fiona Staples","Saga, Vol. 2 (Saga, #2)",4.57
2245,Lee Child,"The Enemy (Jack Reacher, #8)",4.15
2246,Michael   Lewis,Flash Boys: A Wall Street Revolt,4.12
2247,"Jean-Dominique Bauby, Jeremy Leggatt",The Diving Bell and the Butterfly,4.01
2248,"Bill O'Reilly, Martin Dugard",Killing Kennedy: The End of Camelot,4.05
2249,John Grisham,Rogue Lawyer,3.7
2250,Bill Bryson,The Life and Times of the Thunderbolt Kid,3.93
2251,Chevy Stevens,Still Missing,3.96
2252,Frank McCourt,"'Tis (Frank McCourt, #2)",3.66
2253,Charles C. Mann,1491: New Revelations of the Americas Before Columbus,4.01
2254,Marissa Meyer,"Fairest (The Lunar Chronicles, #3.5)",4.02
2255,Kay Redfield Jamison,An Unquiet Mind: A Memoir of Moods and Madness,4.03
2256,Sarah  Young,Jesus Calling: Enjoying Peace in His Presence,4.54
2257,Edward Albee,Who's Afraid of Virginia Woolf?,4.09
2258,Andrzej Sapkowski,"The Last Wish (The Witcher, #1)",4.2
2259,"Umberto Eco, William Weaver",Foucault's Pendulum,3.89
2260,Don Freeman,A Pocket for Corduroy,4.29
2261,"James Patterson, Maxine Paetro","The 5th Horseman (Women's Murder Club, #5)",4.03
2262,Jacqueline Carey,"Kushiel's Dart (Phèdre's Trilogy, #1)",4.04
2263,Eric Metaxas,"Bonhoeffer: Pastor, Martyr, Prophet, Spy",4.23
2264,Janet Evanovich,"Explosive Eighteen (Stephanie Plum, #18)",3.92
2265,Michael  Grant,"Lies (Gone, #3)",4.09
2266,A.W. Tozer,The Pursuit of God,4.38
2267,Julie Kagawa,"The Iron Knight (The Iron Fey, #4)",4.23
2268,Jacqueline Winspear,"Maisie Dobbs (Maisie Dobbs, #1)",3.91
2269,Raymond E. Feist,"Magician (The Riftwar Saga, #1-2)",4.32
2270,Ann Brashares,"Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood, #4)",3.8
2271,Terry Pratchett,"Feet of Clay (Discworld, #19; City Watch, #3)",4.26
2272,"Stieg Larsson, Reg Keeland","The Millennium Trilogy (Millennium Trilogy, #1-3)",4.46
2273,Dot Hutchison,The Butterfly Garden (The Collector #1),4.07
2274,Tom Robbins,Skinny Legs and All,4.03
2275,Jeaniene Frost,"Destined for an Early Grave (Night Huntress, #4)",4.34
2276,R.K. Lilley,"In Flight (Up in the Air, #1)",4.1
2277,James Patterson,"Cross (Alex Cross, #12)",3.99
2278,Meg Cabot,"All-American Girl (All-American Girl, #1)",3.73
2279,Bill Bryson,Neither Here nor There: Travels in Europe,3.88
2280,David Levithan,Boy Meets Boy,3.85
2281,Wally Lamb,We Are Water,3.79
2282,James Patterson,"Max (Maximum Ride, #5)",4.07
2283,Alexandra Adornetto,"Halo (Halo, #1)",3.67
2284,Kiran Desai,The Inheritance of Loss,3.41
2285,Raymond E. Feist,"A Darkness At Sethanon (The Riftwar Saga, #4)",4.17
2286,"Johann Wolfgang von Goethe, Burton Pike",The Sorrows of Young Werther,3.63
2287,Jeaniene Frost,"At Grave's End (Night Huntress, #3)",4.31
2288,Alexandra Fuller,Don't Let's Go to the Dogs Tonight,3.96
2289,Robin McKinley,Beauty: A Retelling of the Story of Beauty and the Beast,4.05
2290,Jonathan Safran Foer,Eating Animals,4.18
2291,"Angie Sage, Mark Zug","Flyte (Septimus Heap, #2)",3.99
2292,"سعود السنعوسي, Saud Alsanousi",ساق البامبو,4.25
2293,Rae Carson,"The Girl of Fire and Thorns (Fire and Thorns, #1)",3.81
2294,Ann Aguirre,"Enclave (Razorland, #1)",3.92
2295,"Dava Sobel, Neil Armstrong",Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,3.95
2296,Patricia Cornwell,"Unnatural Exposure (Kay Scarpetta, #8)",4.05
2297,"Johann Wolfgang von Goethe, Peter Salm",Faust: First Part,3.93
2298,James W. Loewen,Lies My Teacher Told Me,3.96
2299,Robin Hobb,"Fool's Fate (Tawny Man, #3)",4.38
2300,"Joe Hill, Gabriel Rodríguez","Locke & Key, Vol. 1: Welcome to Lovecraft",4.18
2301,Patrick Ness,"The Ask and the Answer (Chaos Walking, #2)",4.2
2302,Alexandra Ripley,Scarlett,3.44
2303,Laurell K. Hamilton,"Bloody Bones (Anita Blake, Vampire Hunter #5)",4.1
2304,F. Scott Fitzgerald,This Side of Paradise,3.68
2305,Blaine Harden,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,3.99
2306,Kim Harrison,"Every Which Way But Dead (The Hollows, #3)",4.29
2307,Curtis Sittenfeld,"Eligible: A Modern Retelling of Pride and Prejudice (The Austen Project, #4)",3.63
2308,Sarah Thornton,Seven Days in the Art World,3.54
2309,"J.R.R. Tolkien, Christopher Tolkien, Alan Lee",The Children of Húrin,3.94
2310,Dave Ramsey,The Total Money Makeover: A Proven Plan for Financial Fitness,4.29
2311,"Richard Atwater, Florence Atwater, Robert Lawson",Mr. Popper's Penguins,3.95
2312,Orson Scott Card,"Shadow Puppets (Ender's Shadow, #3)",3.88
2313,Lev Grossman,"The Magician's Land (The Magicians, #3)",4.16
2314,William Faulkner,Light in August,3.93
2315,"E.B. White, Fred Marcellino",The Trumpet of the Swan,4.06
2316,George Saunders,Tenth of December,3.96
2317,Sherrilyn Kenyon,"Night Pleasures (Dark-Hunter, #1)",4.23
2318,"Thomas J. Stanley, William D. Danko",The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,4
2319,Ally Carter,"Don't Judge a Girl by Her Cover (Gallagher Girls, #3)",4.2
2320,Bob Dylan,"Chronicles, Vol. 1",3.98
2321,Bill Bryson,The Lost Continent: Travels in Small Town America,3.83
2322,Lisa See,Dreams of Joy (Shanghai Girls #2),4.06
2323,Sidney Sheldon,Tell Me Your Dreams,3.93
2324,"Laura Ingalls Wilder, Garth Williams","By the Shores of Silver Lake  (Little House, #5)",4.16
2325,Iain M. Banks,"The Player of Games (Culture, #2)",4.26
2326,"George Selden, Garth Williams",The Cricket in Times Square,4.01
2327,Patrick Lencioni,The Five Dysfunctions of a Team: A Leadership Fable,4.01
2328,"William S. Burroughs, Oliver  Harris, Allen Ginsberg",Junky,3.85
2329,"Roger Fisher, William Ury, Bruce Patton",Getting to Yes: Negotiating an Agreement Without Giving In,3.88
2330,R.K. Lilley,"Mile High (Up in the Air, #2)",4.21
2331,Colleen Hoover,Nov-09,4.41
2332,Kerry Lonsdale,"Everything We Keep (Everything We Keep, #1)",3.84
2333,Samantha Towle,"The Mighty Storm (The Storm, #1)",4.19
2334,Madeline Miller,The Song of Achilles,4.27
2335,Amy Schumer,The Girl with the Lower Back Tattoo,3.76
2336,"Krishna-Dwaipayana Vyasa, Simon Brodbeck, Juan Mascaró",The Bhagavad Gita,4.1
2337,"Paul Auster, Art Spiegelman",The New York Trilogy,3.92
2338,Pam Muñoz Ryan,Esperanza Rising,3.91
2339,J.D. Salinger,"Raise High the Roof Beam, Carpenters & Seymour: An Introduction",4.11
2340,Candace Bushnell,Sex and the City,3.37
2341,Laurell K. Hamilton,"The Killing Dance (Anita Blake, Vampire Hunter, #6)",4.12
2342,"Friedrich Nietzsche, R.J. Hollingdale, Michael Tanner",Beyond Good and Evil,4.01
2343,Christopher Paul Curtis,The Watsons Go to Birmingham - 1963,3.95
2344,Charles Bukowski,Factotum,3.96
2345,Julie Kagawa,"The Immortal Rules (Blood of Eden, #1)",4.1
2346,Dave Cullen,Columbine,4.26
2347,Anne Rice,"Lasher (Lives of the Mayfair Witches, #2)",3.84
2348,Laila Ibrahim,Yellow Crocus,4.24
2349,"Mark Owen, Kevin Maurer",No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden,3.95
2350,Laura Moriarty,The Chaperone,3.84
2351,Patricia Cornwell,"All That Remains (Kay Scarpetta, #3)",4.05
2352,"Richard Bachman, Stephen King",The Regulators,3.63
2353,"Neil Gaiman, Matt Wagner, George Pratt, Dick Giordano, Kelley Jones, P. Craig Russell, Mike Dringenberg, Malcolm Jones III, Todd Klein, Harlan Ellison",Season of Mists (The Sandman #4),4.54
2354,"James Patterson, Andrew Gross",Judge & Jury,3.98
2355,George Eliot,Silas Marner,3.6
2356,Jennifer L. Armentrout,"Origin (Lux, #4)",4.44
2357,Michael Pollan,The Botany of Desire: A Plant's-Eye View of the World,4.05
2358,"Kami Garcia, Margaret Stohl","Beautiful Redemption (Caster Chronicles, #4)",3.94
2359,Kate Morton,The Distant Hours,3.87
2360,Clare Mackintosh,I Let You Go,4.09
2361,Robert Louis Stevenson,"Kidnapped (David Balfour, #1)",3.78
2362,H.G. Bissinger,"Friday Night Lights: A Town, a Team, and a Dream",4.11
2363,David Sheff,Beautiful Boy: A Father's Journey Through His Son's Addiction,4.03
2364,Abbi Glines,"The Vincent Boys (The Vincent Boys, #1)",3.98
2365,Edgar Allan Poe,The Cask of Amontillado,4.09
2366,"Ovid, David Raeburn, Denis Feeney",Metamorphoses,4.03
2367,Julia Alvarez,In the Time of the Butterflies,4.13
2368,Robert Morgan,Gap Creek,3.71
2369,Jennifer L. Armentrout,"Half-Blood (Covenant, #1)",4.16
2370,"Bo Hampton, Tracey Hampton, Washington Irving",The Legend of Sleepy Hollow (Graphic Novel),3.96
2371,Jen Lancaster,"Bitter Is the New Black: Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office",3.9
2372,Nora Roberts,The Witness,4.19
2373,Karin Slaughter,"Blindsighted (Grant County, #1)",4.1
2374,Wallace Stegner,Angle of Repose,4.27
2375,John le Carré,"Tinker, Tailor, Soldier, Spy",4.04
2376,Brian Jacques,"Lord Brocktree (Redwall, #13)",3.95
2377,Veronica Rossi,"Through the Ever Night (Under the Never Sky, #2)",4.17
2378,Elin Hilderbrand,Barefoot,3.77
2379,James Frey,My Friend Leonard,3.83
2380,Tennessee Williams,Cat on a Hot Tin Roof,4.07
2381,James Patterson,"The Final Warning (Maximum Ride, #4)",3.86
2382,Robin Hobb,"Golden Fool (Tawny Man, #2)",4.32
2383,David Baldacci,"Split Second (Sean King & Michelle Maxwell, #1)",3.98
2384,Michael Connelly,"The Fifth Witness (Mickey Haller, #5; Harry Bosch Universe, #20)",4.17
2385,Tad Williams,"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",3.95
2386,Marjane Satrapi,"Persepolis, Volume 1",4.27
2387,Jan Karon,"At Home in Mitford (Mitford Years, #1)",4.11
2388,Tony Hsieh,"Delivering Happiness: A Path to Profits, Passion, and Purpose",4.01
2389,Anthony Horowitz,"Scorpia (Alex Rider, #5)",4.16
2390,Erika Johansen,"The Queen of the Tearling (The Queen of the Tearling, #1)",4.02
2391,Gordon Korman,"One False Note (The 39 Clues, #2)",3.88
2392,Holly Black,"Tithe (Modern Faerie Tales, #1)",3.73
2393,Lee Child,"Echo Burning (Jack Reacher, #5)",3.98
2394,L.J. Smith,"The Fury / Dark Reunion (The Vampire Diaries, #3-4)",3.74
2395,"Colleen Hoover, Tarryn Fisher","Never Never (Never Never, #1)",4.12
2396,Elizabeth Haynes,Into the Darkest Corner,4.1
2397,"Richard Lancelyn Green, Ronald Knox, Julian Symons, Various",The Further Adventures of Sherlock Holmes: After Sir Arthur Conan Doyle (Classic Crime),4.4
2398,James Patterson,"Roses are Red (Alex Cross, #6)",4.02
2399,Terry Goodkind,"Naked Empire (Sword of Truth, #8)",3.82
2400,James Rollins,"Map of Bones (Sigma Force, #2)",4.06
2401,Harlan Coben,The Stranger,3.85
2402,Sara Shepard,"Unbelievable (Pretty Little Liars, #4)",4.06
2403,"E.M. Forster, Oliver Stallybrass, Pankaj Mishra",A Passage to India,3.66
2404,Rachel Hartman,"Seraphina (Seraphina, #1)",3.98
2405,Nora Roberts,"Morrigan's Cross (Circle Trilogy, #1)",4.14
2406,Jean M. Auel,"The Mammoth Hunters (Earth's Children, #3)",3.88
2407,Jim Butcher,"Princeps' Fury (Codex Alera, #5)",4.35
2408,Erich Segal,"Love Story (Love Story, #1)",3.6
2409,Kevin Henkes,Chrysanthemum,4.31
2410,Wendy Higgins,"Sweet Evil (Sweet, #1)",4.13
2411,Herman Wouk,"The Winds of War (The Henry Family, #1)",4.36
2412,"Stephen King, Jae Lee","The Wind Through the Keyhole (The Dark Tower, #4.5)",4.14
2413,Bernard Cornwell,"The Last Kingdom (The Saxon Stories, #1)",4.23
2414,Michael E. Gerber,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,3.98
2415,"James Howe, Deborah Howe, Alan Daniel","Bunnicula (Bunnicula, #1)",3.83
2416,R.A. Salvatore,"Exile (Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt, #2)",4.24
2417,Amanda Hocking,"Ascend (Trylle, #3)",4.08
2418,"Jussi Adler-Olsen, Lisa Hartford","The Keeper of Lost Causes (Department Q, #1)",3.98
2419,Gabriel García Márquez,Of Love and Other Demons,3.98
2420,Rick Riordan,The Demigod Files (Percy Jackson and the Olympians),4.04
2421,Oliver Sacks,Musicophilia: Tales of Music and the Brain,3.88
2422,Stephen King,"End of Watch (Bill Hodges Trilogy, #3)",4.09
2423,Christopher Moore,Fool,3.96
2424,John Connolly,The Book of Lost Things,3.98
2425,Bill Clinton,My Life,3.72
2426,"Frank Miller, Lynn Varley",300,3.93
2427,Linda Sue Park,"Storm Warning (The 39 Clues, #9)",3.98
2428,Ally Carter,"Only the Good Spy Young (Gallagher Girls, #4)",4.29
2429,Lee Child,"Persuader (Jack Reacher, #7)",4.09
2430,Charlaine Harris,"Grave Sight (Harper Connelly, #1)",3.85
2431,"Jo Nesbø, Don Bartlett","Flaggermusmannen (Harry Hole, #1)",3.56
2432,Nora Roberts,"Blood Brothers (Sign of Seven, #1)",4.15
2433,Jodi Picoult,Picture Perfect,3.52
2434,"Nobuhiro Watsuki, Kenichiro Yagi","Rurouni Kenshin, Vol. 1: Meiji Swordsman Romantic Story (Rurouni Kenshin, #1)",4.33
2435,Miranda Kenneally,Catching Jordan,3.85
2436,Joe Simpson,Touching the Void: The True Story of One Man's Miraculous Survival,4.2
2437,Colleen Hoover,"This Girl (Slammed, #3)",4.18
2438,Simms Taback,There Was an Old Lady Who Swallowed a Fly,4.2
2439,Dan Millman,Way of the Peaceful Warrior: A Book That Changes Lives,4.13
2440,Salman Rushdie,The Satanic Verses,3.71
2441,Barbara Demick,Nothing to Envy: Ordinary Lives in North Korea,4.42
2442,"Jack Welch, Suzy Welch",Winning,3.8
2443,Gail McHugh,"Collide (Collide, #1)",4.24
2444,Jonah Lehrer,How We Decide,3.81
2445,Laurie R. King,"The Beekeeper's Apprentice (Mary Russell, #1)",4.08
2446,"Jean de Brunhoff, Merle S. Haas",The Story of Babar,4.07
2447,Michael Scott,"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)",4.17
2448,Jim Butcher,"First Lord's Fury (Codex Alera, #6)",4.37
2449,Tom Rachman,The Imperfectionists,3.54
2450,Katja Millay,The Sea of Tranquility,4.34
2451,"Marjane Satrapi, Anjali Singh","Persepolis 2: The Story of a Return (Persepolis, #2)",4.23
2452,Terry Pratchett,"Pyramids (Discworld, #7)",3.88
2453,Raymond E. Feist,"Silverthorn (The Riftwar Saga, #3)",4.06
2454,Jenny Downham,Before I Die,3.84
2455,Elizabeth Gilbert,Committed: A Skeptic Makes Peace with Marriage,3.39
2456,Sarah Dessen,Keeping the Moon,3.86
2457,Veronica Roth,"The Transfer (Divergent, #0.1)",4.19
2458,Terry Goodkind,"Chainfire (Sword of Truth, #9)",3.95
2459,"Julia Child, Simone Beck, Louisette Bertholle",Mastering the Art of French Cooking,4.33
2460,"Kazue Kato, John Werry","Blue Exorcist, Vol. 1  (Blue Exorcist, #1)",4.36
2461,Terry Goodkind,"Confessor (Sword of Truth, #11)",4.08
2462,Mohsin Hamid,The Reluctant Fundamentalist,3.67
2463,Jennifer A. Nielsen,The False Prince (The Ascendance Trilogy #1),4.22
2464,John Updike,"Rabbit, Run (Rabbit Angstrom #1)",3.57
2465,Daniel Todd Gilbert,Stumbling on Happiness,3.82
2466,T.S. Eliot,The Waste Land and Other Poems,4.23
2467,"Else Holmelund Minarik, Maurice Sendak",Little Bear,4.22
2468,Edgar Allan Poe,The Pit and the Pendulum,4.15
2469,Terry Pratchett,"Lords and Ladies (Discworld, #14; Witches #4)",4.14
2470,Terry Pratchett,"Thud! (Discworld, #34; City Watch #7)",4.29
2471,Naomi Novik,"His Majesty's Dragon (Temeraire, #1)",4.05
2472,"Holly Black, Tony DiTerlizzi","The Field Guide (The Spiderwick Chronicles, #1)",3.85
2473,David Platt,Radical: Taking Back Your Faith from the American Dream,4.18
2474,"Robert Greene, Joost Elffers",The 48 Laws of Power,4.18
2475,Jean Craighead George,"My Side of the Mountain (Mountain, #1)",4.03
2476,"Susanna Kearsley, Rosalyn Landor","The Winter Sea (Slains, #1)",4.07
2477,Peter Lerangis,"The Sword Thief (The 39 Clues, #3)",3.87
2478,Robin Cook,Coma,3.86
2479,"Hubert Selby Jr., Darren Aronofsky, Richard Price",Requiem for a Dream,4.1
2480,Erin Hunter,"Into the Wild (Warriors, #1)",4.29
2481,Dee Brown,Bury My Heart at Wounded Knee: An Indian History of the American West,4.21
2482,"Władysław Szpilman, Anthea Bell","The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939–45",4.24
2483,Maya Banks,"Rush (Breathless, #1)",3.97
2484,"Ian Edginton, Oscar Wilde, I.N.J. Culbard",The Picture of Dorian Gray: A Graphic Novel,4.12
2485,Robert McCammon,Swan Song,4.28
2486,Kazuo Ishiguro,The Buried Giant,3.42
2487,China Miéville,"Perdido Street Station (Bas-Lag, #1)",3.96
2488,Carrie Jones,"Need (Need, #1)",3.71
2489,Terry Pratchett,"Witches Abroad (Discworld, #12; Witches #3)",4.2
2490,"Geoffrey Crayon, Washington Irving, William L. Hedges",The Legend of Sleepy Hollow and Other Stories,3.93
2491,Frank Herbert,Heretics of Dune (Dune Chronicles #5),3.83
2492,"David Wilkerson, John Sherrill, Elizabeth Sherrill",The Cross and the Switchblade,4.2
2493,Jim Butcher,"Captain's Fury (Codex Alera, #4)",4.38
2494,Chuck Palahniuk,"Damned (Damned, #1)",3.38
2495,Cynthia Lord,Rules,3.96
2496,Karen Russell,Swamplandia!,3.21
2497,Michael Connelly,"The Last Coyote (Harry Bosch, #4; Harry Bosch Universe, #4)",4.21
2498,Mark Kurlansky,Salt: A World History,3.73
2499,"Charlotte Brontë, A.S. Byatt, Μαρία Λαϊνά, Ignes Sodre",Villette,3.75
2500,Neal Stephenson,Reamde,3.96
2501,Terry Pratchett,"Soul Music (Discworld, #16; Death, #3)",4.02
2502,Janet Evanovich,"Notorious Nineteen (Stephanie Plum, #19)",3.9
2503,Richard Dawkins,The Greatest Show on Earth: The Evidence for Evolution,4.16
2504,Frank Miller,"Sin City, Vol. 1: The Hard Goodbye (Sin City, #1)",4.16
2505,Og Mandino,The Greatest Salesman in the World,4.19
2506,Ian Fleming,"Casino Royale (James Bond, #1)",3.73
2507,Paullina Simons,"The Bronze Horseman (The Bronze Horseman, #1)",4.34
2508,Toni Morrison,Sula,3.86
2509,A.G. Riddle,"The Atlantis Gene (The Origin Mystery, #1)",3.69
2510,Philippa Gregory,"The Red Queen (The Plantagenet and Tudor Novels, #3)",3.74
